"Celestial & Crayola",2016-12-31T23:34:36.000Z,20,114105,21098,https://yt3.ggpht.com/a-/AAuE7mAEkqqc6cCTFhUc5tzw7pkjdUZah7c45Ghw8w=s240-mo-c-c0xffffffff-rj-k-no
FionaFrills,2016-12-31T19:30:00.000Z,26,38721,830562,https://yt3.ggpht.com/a-/AAuE7mAvsrCoqsyrkHzkqEPJS7Hy6KZFyC5fyuRQEQ=s240-mo-c-c0xffffffff-rj-k-no
"Shanice Slatter",2016-12-31T16:00:01.000Z,24,9719,190109,https://yt3.ggpht.com/a-/AAuE7mCnWPdpLv_4DmGckY7Hv3jjkewArWcJd1qc6Q=s240-mo-c-c0xffffffff-rj-k-no
"Janelle Estep",2016-12-31T15:00:04.000Z,26,33901,655501,https://yt3.ggpht.com/a-/AAuE7mBBeuVDjfHjHdwqX6xC1aMctGf28Mp5pw6Dpw=s240-mo-c-c0xffffffff-rj-k-no
"Kaelyn xox",2016-12-31T13:01:58.000Z,1,125450,244791,https://yt3.ggpht.com/a-/AAuE7mAIq4F2nXbXhElOBqFFWJewiLFE29KZ7s0guw=s240-mo-c-c0xffffffff-rj-k-no
joanday,2016-12-31T13:00:02.000Z,22,31026,354482,https://yt3.ggpht.com/a-/AAuE7mDtlNyKykx36I7PK6Hq5Wycr2i2DxifcghR7w=s240-mo-c-c0xffffffff-rj-k-no
Inkarnid,2016-12-31T06:10:21.000Z,20,34493,19021,https://yt3.ggpht.com/a-/AAuE7mC5vFjIkFgCeuQb9n7O4ddMzo_kcYTcgKu7bA=s240-mo-c-c0xffffffff-rj-k-no
"Jake Paul",2016-12-31T02:30:00.000Z,22,14816293,18091657,https://yt3.ggpht.com/a-/AAuE7mAZCFsu7NiD-74lGEVFt7NV-XlF_uGf8CjnLw=s240-mo-c-c0xffffffff-rj-k-no
"BE.YOU.TIFUL by Athina",2016-12-31T01:14:37.000Z,22,51700,17080,https://yt3.ggpht.com/a-/AAuE7mDPKKBQUiR9gWCzzeE0jpIkeAJWuMKqxQMh3A=s240-mo-c-c0xffffffff-rj-k-no
"S. H",2016-12-31T00:25:29.000Z,29,139894,0,https://yt3.ggpht.com/a-/AAuE7mCRQAaPQbeVxi9DMCyN7FKuVh7ceXljVnmHGg=s240-mo-c-c0xffffffff-rj-k-no
